 ssid      name                                 ss created           ss completed     volume         pool              size  lvl
2437877360 RMAN:Manthan_rman_MANTHAN_11_08_2019_kju8t5tu_1_1.bkp 11-08-2019 00:05:28 11-08-2019 00:06:47 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 42 MB full
2437877360 RMAN:Manthan_rman_MANTHAN_11_08_2019_kju8t5tu_1_1.bkp 11-08-2019 00:05:28 11-08-2019 00:06:47 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 42 MB full
2471431792 RMAN:Manthan_rman_MANTHAN_11_08_2019_khu8t5tu_1_1.bkp 11-08-2019 00:05:28 11-08-2019 05:57:40 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 5157 MB full
2471431792 RMAN:Manthan_rman_MANTHAN_11_08_2019_khu8t5tu_1_1.bkp 11-08-2019 00:05:28 11-08-2019 05:57:40 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 5157 MB full
2454654576 RMAN:Manthan_rman_MANTHAN_11_08_2019_kiu8t5tu_1_1.bkp 11-08-2019 00:05:28 11-08-2019 00:06:49 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 38 MB full
2454654576 RMAN:Manthan_rman_MANTHAN_11_08_2019_kiu8t5tu_1_1.bkp 11-08-2019 00:05:28 11-08-2019 00:06:49 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 38 MB full
2421100145 RMAN:Manthan_rman_MANTHAN_11_08_2019_kgu8t5tu_1_1.bkp 11-08-2019 00:05:29 11-08-2019 00:09:09 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 6227 MB full
2421100145 RMAN:Manthan_rman_MANTHAN_11_08_2019_kgu8t5tu_1_1.bkp 11-08-2019 00:05:29 11-08-2019 00:09:09 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 6227 MB full
2353991369 RMAN:Manthan_rman_MANTHAN_11_08_2019_kku8t60u_1_1.bkp 11-08-2019 00:06:57 11-08-2019 00:08:03 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 43 MB full
2353991369 RMAN:Manthan_rman_MANTHAN_11_08_2019_kku8t60u_1_1.bkp 11-08-2019 00:06:57 11-08-2019 00:08:03 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 43 MB full
2337214153 RMAN:Manthan_rman_MANTHAN_11_08_2019_klu8t60u_1_1.bkp 11-08-2019 00:06:57 11-08-2019 00:07:59 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 31 MB full
2337214153 RMAN:Manthan_rman_MANTHAN_11_08_2019_klu8t60u_1_1.bkp 11-08-2019 00:06:57 11-08-2019 00:07:59 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 31 MB full
2236550932 RMAN:Manthan_rman_MANTHAN_11_08_2019_knu8t639_1_1.bkp 11-08-2019 00:08:12 11-08-2019 00:09:17 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 33 MB full
2236550932 RMAN:Manthan_rman_MANTHAN_11_08_2019_knu8t639_1_1.bkp 11-08-2019 00:08:12 11-08-2019 00:09:17 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 33 MB full
2219773716 RMAN:Manthan_rman_MANTHAN_11_08_2019_kmu8t639_1_1.bkp 11-08-2019 00:08:12 11-08-2019 00:09:15 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 30 MB full
2219773716 RMAN:Manthan_rman_MANTHAN_11_08_2019_kmu8t639_1_1.bkp 11-08-2019 00:08:12 11-08-2019 00:09:15 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 30 MB full
2001669973 RMAN:Manthan_rman_MANTHAN_11_08_2019_kou8t65a_1_1.bkp 11-08-2019 00:09:17 11-08-2019 00:10:16 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 34 MB full
